_id,channel_name,channel_upload_key,channel_published_date,channel_views,channel_subscribers,channel_videos,playlist_id
65b10f4cfbe1bf3948ca7f13,My Research Support,UUdIAr2sxtaKgah1UGC4dFJA,2018-10-21T18:44:07Z,7500882,147000,77,UUdIAr2sxtaKgah1UGC4dFJA
65b10fc6fbe1bf3948ca7f15,All About Python,UUggZvARaczWC4wc4E6f330w,2021-04-17T07:40:33.865779Z,262680,2650,33,UUggZvARaczWC4wc4E6f330w
65b10ff8fbe1bf3948ca7f17,techTFQ,UUnz-ZXXER4jOvuED5trXfEA,2020-06-13T05:20:37.182391Z,14015596,263000,102,UUnz-ZXXER4jOvuED5trXfEA
65b11049fbe1bf3948ca7f19,LearnTech,UUDkko2pjMfvROy0B3ReBGOw,2020-05-08T08:49:45.403534Z,134874,1290,103,UUDkko2pjMfvROy0B3ReBGOw
65b11074fbe1bf3948ca7f1b,Sounds of Isha,UUT8M_hDfTRjUbs8hwahZyBA,2011-01-01T07:05:46Z,472340015,1530000,335,UUT8M_hDfTRjUbs8hwahZyBA
65b110b2fbe1bf3948ca7f1d,CareerFoundry,UUzAF54cHk1ZO82af-8E3qOQ,2013-10-20T13:23:10Z,11813062,235000,353,UUzAF54cHk1ZO82af-8E3qOQ
65b110dafbe1bf3948ca7f1f,Learn Data with Mark,UUKEk670ECmteGBehmDjVSSg,2022-05-30T13:10:05.988653Z,173050,4180,74,UUKEk670ECmteGBehmDjVSSg
65b11106fbe1bf3948ca7f21,Our Future Health,UUJUEct7MOPjAGN5jP55CFjQ,2021-01-27T12:16:24.85755Z,56462,931,29,UUJUEct7MOPjAGN5jP55CFjQ
65b1112ffbe1bf3948ca7f23,LingaBhairavi,UUq0pz3puqJJpnm3vQsMwtgw,2011-12-19T07:04:01Z,16255447,151000,170,UUq0pz3puqJJpnm3vQsMwtgw
65b11198fbe1bf3948ca7f25,Farming Photography,UU9IjWbZ325AI44dls_tfhMg,2013-09-06T09:14:18Z,8618723,20100,220,UU9IjWbZ325AI44dls_tfhMg
